選手ID,選手名,OVR,顔写真,所属クラブ,クラブID,クラブエンブレム,所属リーグ名
252371,J. Bellingham,90,https://cdn.sofifa.net/players/252/371/26_240.png,Real Madrid,243.0,https://cdn.sofifa.net/teams/243/240.png,La Liga
239053,F. Valverde,89,https://cdn.sofifa.net/players/239/053/26_240.png,Real Madrid,243.0,https://cdn.sofifa.net/teams/243/240.png,La Liga
212622,J. Kimmich,89,https://cdn.sofifa.net/players/212/622/26_240.png,FC Bayern München,21.0,https://cdn.sofifa.net/teams/21/240.png,Bundesliga
235212,A. Hakimi,89,https://cdn.sofifa.net/players/235/212/26_240.png,Paris Saint-Germain,73.0,https://cdn.sofifa.net/teams/73/240.png,Ligue 1
224232,N. Barella,87,https://cdn.sofifa.net/players/224/232/26_240.png,Inter,44.0,https://cdn.sofifa.net/teams/44/240.png,Serie A
208128,H. Çalhanoğlu,86,https://cdn.sofifa.net/players/208/128/26_240.png,Inter,44.0,https://cdn.sofifa.net/teams/44/240.png,Serie A
226268,F. Dimarco,85,https://cdn.sofifa.net/players/226/268/26_240.png,Inter,44.0,https://cdn.sofifa.net/teams/44/240.png,Serie A
239837,A. Mac Allister,87,https://cdn.sofifa.net/players/239/837/26_240.png,Liverpool,9.0,https://cdn.sofifa.net/teams/9/240.png,Premier League
231866,Rodri,90,https://cdn.sofifa.net/players/231/866/26_240.png,Manchester City,10.0,https://cdn.sofifa.net/teams/10/240.png,Premier League
194765,A. Griezmann,85,https://cdn.sofifa.net/players/194/765/26_240.png,Atlético Madrid,240.0,https://cdn.sofifa.net/teams/240/240.png,La Liga
232656,T. Hernández,84,https://cdn.sofifa.net/players/232/656/26_240.png,Al Hilal,605.0,https://cdn.sofifa.net/teams/605/240.png,Pro League
212198,Bruno Fernandes,87,https://cdn.sofifa.net/players/212/198/26_240.png,Manchester United,11.0,https://cdn.sofifa.net/teams/11/240.png,Premier League
246191,J. Alvarez,87,https://cdn.sofifa.net/players/246/191/26_240.png,Atlético Madrid,240.0,https://cdn.sofifa.net/teams/240/240.png,La Liga
231281,T. Alexander-Arnold,86,https://cdn.sofifa.net/players/231/281/26_240.png,Real Madrid,243.0,https://cdn.sofifa.net/teams/243/240.png,La Liga
244675,Sancet,84,https://cdn.sofifa.net/players/244/675/26_240.png,Athletic Club,448.0,https://cdn.sofifa.net/teams/448/240.png,La Liga
210008,A. Rabiot,83,https://cdn.sofifa.net/players/210/008/26_240.png,AC Milan,47.0,https://cdn.sofifa.net/teams/47/240.png,Serie A
212616,R. De Paul,84,https://cdn.sofifa.net/players/212/616/26_240.png,Inter Miami,112893.0,https://cdn.sofifa.net/teams/112893/240.png,Major League Soccer
241096,S. Tonali,86,https://cdn.sofifa.net/players/241/096/26_240.png,Newcastle United,13.0,https://cdn.sofifa.net/teams/13/240.png,Premier League
